Image Name, Detector, Descriptor, TTC Camera, TTC LIDAR
0013, ORB, ORB, -inf, 9.42504
0014, ORB, ORB, -inf, 9.30215
0015, ORB, ORB, -inf, 8.3212
0016, ORB, ORB, 22.3258, 8.89867
0017, ORB, ORB, 21.8692, 11.0301
0018, ORB, ORB, 23.3647, 8.53557

0000, ORB, FREAK, 
0001, ORB, FREAK, 12.1791, 12.2891
0002, ORB, FREAK, 10.721, 13.3547
0003, ORB, FREAK, 11.5586, 16.3845
0004, ORB, FREAK, 10.8492, 14.0764
0005, ORB, FREAK, 16.2288, 12.7299
0006, ORB, FREAK, -inf, 13.7511
0007, ORB, FREAK, nan, 13.7314
0008, ORB, FREAK, nan, 13.7901
0009, ORB, FREAK, 18.3901, 12.059
0010, ORB, FREAK, 10.8775, 11.8642
0011, ORB, FREAK, 10.8181, 11.9682
0012, ORB, FREAK, 8.31342, 9.88711
0013, ORB, FREAK, 8.59036, 9.42504
0014, ORB, FREAK, 10.8542, 9.30215
0015, ORB, FREAK, nan, 8.3212
0016, ORB, FREAK, 10.4558, 8.89867
0017, ORB, FREAK, 6.42412, 11.0301
0018, ORB, FREAK, 5.48789, 8.53557

0000, AKAZE, BRISK, 
0001, AKAZE, BRISK, 11.6795, 12.2891
0002, AKAZE, BRISK, 12.8195, 13.3547
0003, AKAZE, BRISK, 13.1886, 16.3845
0004, AKAZE, BRISK, 13.6888, 14.0764
0005, AKAZE, BRISK, 13.6699, 12.7299
0006, AKAZE, BRISK, 13.0131, 13.7511
0007, AKAZE, BRISK, 16.3005, 13.7314
0008, AKAZE, BRISK, 12.5576, 13.7901
0009, AKAZE, BRISK, 13.4421, 12.059
0010, AKAZE, BRISK, 11.7135, 11.8642
0011, AKAZE, BRISK, 12.8309, 11.9682
0012, AKAZE, BRISK, 10.301, 9.88711
0013, AKAZE, BRISK, 10.2095, 9.42504
0014, AKAZE, BRISK, 9.1727, 9.30215
0015, AKAZE, BRISK, 9.61004, 8.3212
0016, AKAZE, BRISK, 9.45279, 8.89867
0017, AKAZE, BRISK, 8.38733, 11.0301
